id,uuid,DCP_date_current_period,OPCP_open_price_current_period,HPCP_high_price_current_period,LPCP_low_price_current_period,CPCP_close_price_current_period,ACPCP_adjusted_close_price_current_period,VTCP_volume_of_transactions_current_period,MPN10P_median_price_next_10_periods,HPN10P_highest_price_next_10_periods,LPN10P_lowest_price_next_10_periods,HPN1P_high_price_next_1_period,LPN1P_low_price_next_1_period
113,,13-06-2000,"1,446.00","1,470.42","1,442.38","1,469.44","1,469","93,59,00,000","1,468.72","1,488.93","1,438.31","1,483.62","1,467.71"
114,,14-06-2000,"1,469.44","1,483.62","1,467.71","1,470.54","1,471","92,97,00,000","1,464.54","1,488.93","1,438.31","1,482.04","1,464.62"
115,,15-06-2000,"1,470.54","1,482.04","1,464.62","1,478.73","1,479","1,01,14,00,000","1,459.80","1,488.93","1,434.63","1,480.77","1,460.42"
116,,16-06-2000,"1,478.73","1,480.77","1,460.42","1,464.46","1,464","1,25,08,00,000","1,455.23","1,488.93","1,434.63","1,488.93","1,459.05"
117,,19-06-2000,"1,464.46","1,488.93","1,459.05","1,486.00","1,486","92,17,00,000","1,454.88","1,487.32","1,434.63","1,487.32","1,470.18"
118,,20-06-2000,"1,486.00","1,487.32","1,470.18","1,475.95","1,476","1,03,15,00,000","1,454.75","1,482.19","1,434.63","1,482.19","1,468.00"
119,,21-06-2000,"1,475.95","1,482.19","1,468.00","1,479.13","1,479","1,00,96,00,000","1,453.39","1,479.13","1,434.63","1,479.13","1,448.03"
120,,22-06-2000,"1,479.13","1,479.13","1,448.03","1,452.18","1,452","1,02,27,00,000","1,454.64","1,484.12","1,434.63","1,459.94","1,438.31"
121,,23-06-2000,"1,452.18","1,459.94","1,438.31","1,441.48","1,441","84,76,00,000","1,455.04","1,486.56","1,434.63","1,459.66","1,441.48"
122,,26-06-2000,"1,441.48","1,459.66","1,441.48","1,455.31","1,455","88,90,00,000","1,456.28","1,488.77","1,434.63","1,463.35","1,450.55"
123,,27-06-2000,"1,455.31","1,463.35","1,450.55","1,450.55","1,451","1,04,25,00,000","1,459.04","1,497.69","1,434.63","1,467.63","1,450.55"
124,,28-06-2000,"1,450.55","1,467.63","1,450.55","1,454.82","1,455","1,09,51,00,000","1,469.54","1,501.39","1,434.63","1,455.14","1,434.63"
125,,29-06-2000,"1,454.82","1,455.14","1,434.63","1,442.39","1,442","1,11,09,00,000","1,475.19","1,509.99","1,438.71","1,454.68","1,438.71"
126,,30-06-2000,"1,442.39","1,454.68","1,438.71","1,454.60","1,455","1,45,97,00,000","1,478.95","1,517.32","1,439.56","1,469.58","1,450.85"
127,,03-07-2000,"1,454.60","1,469.58","1,450.85","1,469.54","1,470","45,19,00,000","1,485.34","1,517.32","1,439.56","1,469.54","1,442.45"
128,,05-07-2000,"1,469.54","1,469.54","1,442.45","1,446.23","1,446","1,01,93,00,000","1,488.43","1,517.32","1,439.56","1,461.65","1,439.56"
129,,06-07-2000,"1,446.23","1,461.65","1,439.56","1,456.67","1,457","94,73,00,000","1,490.85","1,517.32","1,456.67","1,484.12","1,456.67"
130,,07-07-2000,"1,456.67","1,484.12","1,456.67","1,478.90","1,479","93,17,00,000","1,492.92","1,517.32","1,470.48","1,486.56","1,474.76"
131,,10-07-2000,"1,478.90","1,486.56","1,474.76","1,475.62","1,476","83,87,00,000","1,492.92","1,517.32","1,463.80","1,488.77","1,470.48"
132,,11-07-2000,"1,475.62","1,488.77","1,470.48","1,480.88","1,481","98,05,00,000","1,492.92","1,517.32","1,463.80","1,497.69","1,480.88"
133,,12-07-2000,"1,480.88","1,497.69","1,480.88","1,492.92","1,493","1,00,12,00,000","1,490.85","1,517.32","1,452.42","1,501.39","1,489.65"
134,,13-07-2000,"1,492.92","1,501.39","1,489.65","1,495.84","1,496","1,02,68,00,000","1,483.92","1,517.32","1,445.33","1,509.99","1,494.56"
135,,14-07-2000,"1,495.84","1,509.99","1,494.56","1,509.98","1,510","96,06,00,000","1,480.05","1,517.32","1,413.89","1,517.32","1,505.26"
136,,17-07-2000,"1,509.98","1,517.32","1,505.26","1,510.49","1,510","90,60,00,000","1,474.47","1,510.49","1,413.89","1,510.49","1,491.35"
137,,18-07-2000,"1,510.49","1,510.49","1,491.35","1,493.74","1,494","90,83,00,000","1,464.29","1,501.92","1,413.89","1,495.63","1,479.92"
138,,19-07-2000,"1,493.74","1,495.63","1,479.92","1,481.96","1,482","90,94,00,000","1,454.88","1,501.92","1,413.89","1,501.92","1,481.96"
139,,20-07-2000,"1,481.96","1,501.92","1,481.96","1,495.57","1,496","1,06,46,00,000","1,452.42","1,495.57","1,413.89","1,495.57","1,477.91"
140,,21-07-2000,"1,495.57","1,495.57","1,477.91","1,480.19","1,480","96,83,00,000","1,452.01","1,485.88","1,413.89","1,485.88","1,463.80"
141,,24-07-2000,"1,480.19","1,485.88","1,463.80","1,464.29","1,464","88,03,00,000","1,452.01","1,480.80","1,413.89","1,476.23","1,464.29"
142,,25-07-2000,"1,464.29","1,476.23","1,464.29","1,474.47","1,474","96,94,00,000","1,452.01","1,484.52","1,413.89","1,474.47","1,452.42"
143,,26-07-2000,"1,474.47","1,474.47","1,452.42","1,452.42","1,452","1,23,58,00,000","1,452.01","1,490.33","1,413.89","1,464.91","1,445.33"
144,,27-07-2000,"1,452.42","1,464.91","1,445.33","1,449.62","1,450","1,15,64,00,000","1,453.38","1,490.33","1,413.89","1,456.68","1,413.89"
145,,28-07-2000,"1,449.62","1,456.68","1,413.89","1,419.89","1,420","98,00,00,000","1,460.07","1,490.33","1,418.71","1,437.65","1,418.71"
146,,31-07-2000,"1,419.89","1,437.65","1,418.71","1,430.83","1,431","95,26,00,000","1,462.93","1,491.64","1,425.43","1,443.54","1,428.96"
147,,01-08-2000,"1,430.83","1,443.54","1,428.96","1,438.10","1,438","93,87,00,000","1,471.05","1,493.12","1,425.43","1,451.59","1,433.49"
148,,02-08-2000,"1,438.10","1,451.59","1,433.49","1,438.70","1,439","99,45,00,000","1,472.87","1,496.09","1,425.43","1,454.19","1,425.43"
149,,03-08-2000,"1,438.70","1,454.19","1,425.43","1,452.56","1,453","1,09,56,00,000","1,479.30","1,499.32","1,451.31","1,462.93","1,451.31"
150,,04-08-2000,"1,452.56","1,462.93","1,451.31","1,462.93","1,463","95,60,00,000","1,479.85","1,499.47","1,453.06","1,480.80","1,460.72"
151,,07-08-2000,"1,462.93","1,480.80","1,460.72","1,479.32","1,479","85,48,00,000","1,482.80","1,502.84","1,453.06","1,484.52","1,472.61"
152,,08-08-2000,"1,479.32","1,484.52","1,472.61","1,482.80","1,483","99,22,00,000","1,486.20","1,508.45","1,453.06","1,490.33","1,471.16"
153,,09-08-2000,"1,482.80","1,490.33","1,471.16","1,472.87","1,473","1,05,40,00,000","1,490.33","1,508.45","1,453.06","1,475.15","1,459.89"
154,,10-08-2000,"1,472.87","1,475.15","1,459.89","1,460.25","1,460","94,08,00,000","1,491.72","1,511.16","1,453.06","1,475.72","1,453.06"
155,,11-08-2000,"1,460.25","1,475.72","1,453.06","1,471.84","1,472","83,55,00,000","1,496.08","1,513.47","1,468.56","1,491.64","1,468.56"
156,,14-08-2000,"1,471.84","1,491.64","1,468.56","1,491.56","1,492","78,38,00,000","1,498.72","1,523.95","1,475.74","1,493.12","1,482.74"
157,,15-08-2000,"1,491.56","1,493.12","1,482.74","1,484.43","1,484","89,59,00,000","1,500.54","1,523.95","1,475.74","1,496.09","1,475.74"
158,,16-08-2000,"1,484.43","1,496.09","1,475.74","1,479.85","1,480","92,98,00,000","1,503.96","1,523.95","1,479.85","1,499.32","1,479.85"
159,,17-08-2000,"1,479.85","1,499.32","1,479.85","1,496.07","1,496","92,24,00,000","1,505.86","1,525.21","1,488.99","1,499.47","1,488.99"
160,,18-08-2000,"1,496.07","1,499.47","1,488.99","1,491.72","1,492","82,14,00,000","1,506.56","1,530.09","1,489.52","1,502.84","1,491.13"
161,,21-08-2000,"1,491.72","1,502.84","1,491.13","1,499.48","1,499","73,16,00,000","1,508.31","1,530.09","1,489.52","1,508.45","1,497.42"
162,,22-08-2000,"1,499.48","1,508.45","1,497.42","1,498.13","1,498","81,88,00,000","1,508.31","1,530.09","1,489.52","1,507.20","1,489.52"
163,,23-08-2000,"1,498.13","1,507.20","1,489.52","1,505.97","1,506","87,10,00,000","1,508.31","1,530.09","1,492.12","1,511.16","1,501.25"
164,,24-08-2000,"1,505.97","1,511.16","1,501.25","1,508.31","1,508","83,71,00,000","1,507.08","1,530.09","1,489.88","1,513.47","1,505.09"
165,,25-08-2000,"1,508.31","1,513.47","1,505.09","1,506.45","1,506","68,56,00,000","1,506.45","1,530.09","1,483.01","1,523.95","1,506.45"
